ANDAR,UNIDADE,VAGAS,ÁREA,VALOR DE VENDA,
1,101,1,100 m²,R$ 838041.03,
1,102,1,100 m²,R$ 925493.41,
1,103,1,66 m²,R$ 554983.54,
1,104,1,67 m²,R$ 608685.33,
1,105,1,67 m²,R$ 563017.07,
1,106,1,69 m²,R$ 622690.48,
1,107,1,69 m²,R$ 580255.71,
1,108,1,69 m²,R$ 622690.48,
1,109,1,66 m²,R$ 554983.54,
1,110,1,67 m²,R$ 608685.33,
1,111,1,100 m²,R$ 841308.59,
1,112,1,100 m²,R$ 925493.41,
2,201,1,100 m²,R$ 857644.33,
2,202,1,100 m²,R$ 971768.55,
2,203,1,66 m²,R$ 568335.05,
2,204,1,67 m²,R$ 639119.85,
2,205,1,67 m²,R$ 576561.86,
2,206,1,69 m²,R$ 653825.26,
2,207,1,69 m²,R$ 594215.21,
2,208,1,69 m²,R$ 653825.26,
2,209,1,66 m²,R$ 568335.05,
2,210,1,67 m²,R$ 639119.85,
2,211,1,100 m²,R$ 883374.18,
2,212,1,100 m²,R$ 971768.55,
3,301,1,100 m²,R$ 866221.29,
3,302,1,100 m²,R$ 981485.59,
3,303,1,66 m²,R$ 574018.74,
3,304,1,67 m²,R$ 645511.22,
3,305,1,67 m²,R$ 582327.82,
3,306,1,69 m²,R$ 660363.69,
3,307,1,69 m²,R$ 600157.72,
3,308,1,69 m²,R$ 660363.69,
3,309,1,66 m²,R$ 574018.74,
3,310,1,67 m²,R$ 645511.22,
3,311,1,100 m²,R$ 892207.01,
3,312,1,100 m²,R$ 981485.59,
4,401,2,100 m²,R$ 926470.48,
4,402,1,100 m²,R$ 991300.65,
4,403,1,66 m²,R$ 579758.50,
4,404,1,67 m²,R$ 651966.20,
4,405,1,67 m²,R$ 588150.66,
4,406,1,69 m²,R$ 666967.19,
4,407,1,69 m²,R$ 606158.84,
4,408,1,69 m²,R$ 666967.19,
4,409,1,66 m²,R$ 579758.50,
4,410,1,67 m²,R$ 651966.20,
4,411,1,100 m²,R$ 901129.61,
4,412,1,100 m²,R$ 991228.43,
5,501,2,100 m²,R$ 1015015.26,
5,502,2,100 m²,R$ 1029173.20,
5,503,1,66 m²,R$ 585556.37,
5,504,1,67 m²,R$ 658485.48,
5,505,1,67 m²,R$ 594032.46,
5,506,1,69 m²,R$ 673636.48,
5,507,1,69 m²,R$ 612220.73,
5,508,1,69 m²,R$ 673636.48,
5,509,1,66 m²,R$ 585556.37,
5,510,1,67 m²,R$ 658485.48,
5,511,2,100 m²,R$ 1015015.49,
5,512,2,100 m²,R$ 1029173.20,
6,601,2,100 m²,R$ 1015015.49,
6,602,2,100 m²,R$ 1029173.20,
6,603,1,66 m²,R$ 591411.68,
6,604,1,67 m²,R$ 665070.47,
6,605,1,67 m²,R$ 599972.52,
6,606,1,69 m²,R$ 680372.98,
6,607,1,69 m²,R$ 618342.67,
6,608,1,69 m²,R$ 680372.98,
6,609,1,66 m²,R$ 591411.68,
6,610,1,67 m²,R$ 665070.47,
6,611,2,100 m²,R$ 1015015.49,
6,612,2,100 m²,R$ 1029173.20,
