Bloco,Andar,Unidade,Status,Área Privativa (m²),Valor Total (R$)
A,Lojas,1,Livre,"41,23",426.043
A,Lojas,2,Livre,"40,5",418.500
A,Lojas,3,Livre,"40,27",416.123
A,Lojas,4,Livre,"39,84",411.680
A,Lojas,5,Livre,"40,37",417.157
A,Lojas,6,Vendido,"41,26",426.353
A,Térreo,1,Vendido,"105,67",542.446
A,Térreo,2,Vendido,"75,73",437.310
A,Térreo,3,Livre,"80,57",486.386
A,Térreo,4,Vendido,"80,8",484.851
A,Térreo,5,Vendido,"77,58",501.753
A,Térreo,101,Livre,"48,29",351.554
A,Térreo,102,Livre,"48,49",360.778
A,Térreo,103,Livre,32,231.985
A,Térreo,104,Livre,"45,65",313.052
A,Térreo,105,Livre,"32,75",237.422
A,Térreo,106,Livre,"45,62",312.847
A,Térreo,107,Livre,"33,52",243.004
A,Térreo,108,Livre,"45,52",312.161
A,Térreo,109,Livre,"32,04",232.275
A,Térreo,110,Vendido,"54,26",425.983
A,Térreo,111,Livre,"54,26",425.983
A,2º Andar,201,Livre,"48,29",357.862
A,2º Andar,202,Livre,"48,49",367.270
A,2º Andar,203,Livre,32,236.625
A,2º Andar,204,Livre,"45,65",319.314
A,2º Andar,205,Livre,"32,75",242.171
A,2º Andar,206,Livre,"45,62",319.104
A,2º Andar,207,Livre,"33,52",247.864
A,2º Andar,208,Livre,"45,52",318.404
A,2º Andar,209,Vendido,"32,04",236.921
A,2º Andar,210,Livre,"54,26",433.779
A,2º Andar,211,Livre,"54,26",433.779
A,3º Andar,301,Livre,"48,29",361.079
A,3º Andar,302,Livre,"48,49",370.581
A,3º Andar,303,Vendido,32,238.991
A,3º Andar,304,Vendido,"45,65",322.507
A,3º Andar,305,Vendido,"32,75",244.592
A,3º Andar,306,Livre,"45,62",322.295
A,3º Andar,307,Livre,"33,52",250.343
A,3º Andar,308,Livre,"45,52",321.588
A,3º Andar,309,Vendido,"32,04",239.290
A,3º Andar,310,Livre,"54,26",437.755
A,3º Andar,311,Livre,"54,26",437.755
A,4º Andar,401,Livre,"48,29",362.378
A,4º Andar,402,Livre,"48,49",371.918
A,4º Andar,403,Vendido,32,239.947
A,4º Andar,404,Livre,"45,65",359.963
A,4º Andar,405,Vendido,"32,75",245.571
A,4º Andar,406,Livre,"45,62",359.751
A,4º Andar,407,Vendido,"33,52",251.344
A,4º Andar,408,Livre,"45,52",359.041
A,4º Andar,409,Vendido,"32,04",240.247
A,4º Andar,410,Livre,"54,26",439.361
A,4º Andar,411,Livre,"54,26",439.361
A,5º Andar,501,Livre,"48,29",363.683
A,5º Andar,502,Livre,"48,49",373.261
A,5º Andar,503,Vendido,32,240.907
A,5º Andar,504,Vendido,"45,65",361.259
A,5º Andar,505,Livre,"32,75",246.553
A,5º Andar,506,Vendido,"45,62",361.045
A,5º Andar,507,Vendido,"33,52",252.350
A,5º Andar,508,Livre,"45,52",360.333
A,5º Andar,509,Vendido,"32,04",241.208
A,5º Andar,510,Vendido,"54,26",440.974
A,5º Andar,511,Livre,"54,26",440.974
A,6º Andar,601,Livre,"48,29",364.993
A,6º Andar,602,Vendido,"48,49",374.610
A,6º Andar,603,Vendido,32,241.870
A,6º Andar,604,Livre,"45,65",362.559
A,6º Andar,605,Livre,"32,75",247.539
A,6º Andar,606,Livre,"45,62",362.344
A,6º Andar,607,Livre,"33,52",253.359
A,6º Andar,608,Livre,"45,52",361.629
A,6º Andar,609,Vendido,"32,04",242.173
A,6º Andar,610,Livre,"54,26",442.593
A,6º Andar,611,Livre,"54,26",442.593
A,7º Andar,701,Livre,"48,29",366.309
A,7º Andar,702,Livre,"48,49",375.964
A,7º Andar,703,Vendido,32,242.838
A,7º Andar,704,Livre,"45,65",363.864
A,7º Andar,705,Livre,"32,75",248.529
A,7º Andar,706,Livre,"45,62",363.649
A,7º Andar,707,Livre,"33,52",254.373
A,7º Andar,708,Livre,"45,52",362.931
A,7º Andar,709,Livre,"32,04",243.141
A,7º Andar,710,Vendido,"54,26",444.219
A,7º Andar,711,Vendido,"54,26",444.219
A,8º Andar,801,Livre,"48,29",367.629
A,8º Andar,802,Livre,"48,49",377.323
A,8º Andar,803,Vendido,32,243.809
A,8º Andar,804,Vendido,"45,65",365.175
A,8º Andar,805,Livre,"32,75",249.524
A,8º Andar,806,Livre,"45,62",364.959
A,8º Andar,807,Livre,"33,52",255.390
A,8º Andar,808,Livre,"45,52",364.238
A,8º Andar,809,Livre,"32,04",244.114
A,8º Andar,810,Vendido,"54,26",445.851
A,8º Andar,811,Vendido,"54,26",445.851
A,9º Andar,901,Livre,"48,29",368.955
A,9º Andar,902,Livre,"48,49",378.687
A,9º Andar,903,Vendido,32,244.784
A,9º Andar,904,Vendido,"45,65",366.491
A,9º Andar,905,Livre,"32,75",250.522
A,9º Andar,906,Vendido,"45,62",366.274
A,9º Andar,907,Livre,"33,52",256.412
A,9º Andar,908,Livre,"45,52",365.551
A,9º Andar,909,Livre,"32,04",245.090
A,9º Andar,910,Livre,"54,26",447.490
A,9º Andar,911,Vendido,"54,26",447.490
A,10º Andar,1001,Livre,"48,29",370.286
A,10º Andar,1002,Livre,"48,49",380.058
A,10º Andar,1003,Vendido,32,245.764
A,10º Andar,1004,Livre,"45,65",367.813
A,10º Andar,1005,Livre,"32,75",251.524
A,10º Andar,1006,Livre,"45,62",367.595
A,10º Andar,1007,Livre,"33,52",257.437
A,10º Andar,1008,Livre,"45,52",366.868
A,10º Andar,1009,Livre,"32,04",246.071
A,10º Andar,1010,Vendido,"54,26",449.135
A,10º Andar,1011,Livre,"54,26",449.135
A,11º Andar,1101,Livre,"48,29",371.623
A,11º Andar,1102,Livre,"48,49",381.433
A,11º Andar,1103,Vendido,32,246.747
A,11º Andar,1104,Livre,"45,65",369.139
A,11º Andar,1105,Livre,"32,75",252.530
A,11º Andar,1106,Livre,"45,62",368.920
A,11º Andar,1107,Livre,"33,52",258.467
A,11º Andar,1108,Livre,"45,52",368.191
A,11º Andar,1109,Livre,"32,04",247.055
A,11º Andar,1110,Vendido,"54,26",450.787
A,11º Andar,1111,Livre,"54,26",450.787
A,12º Andar,1201,Livre,"48,29",372.964
A,12º Andar,1202,Livre,"48,49",382.814
A,12º Andar,1203,Livre,32,247.734
A,12º Andar,1204,Livre,"45,65",370.471
A,12º Andar,1205,Livre,"32,75",253.540
A,12º Andar,1206,Livre,"45,62",370.251
A,12º Andar,1207,Livre,"33,52",259.501
A,12º Andar,1208,Livre,"45,52",369.519
A,12º Andar,1209,Livre,"32,04",248.043
A,12º Andar,1210,Livre,"54,26",452.446
A,12º Andar,1211,Livre,"54,26",452.446
A,13º Andar,1301,Livre,"48,29",374.312
A,13º Andar,1302,Livre,"48,49",384.201
A,13º Andar,1303,Livre,32,248.725
A,13º Andar,1304,Livre,"45,65",371.808
A,13º Andar,1305,Livre,"32,75",254.554
A,13º Andar,1306,Livre,"45,62",371.588
A,13º Andar,1307,Livre,"33,52",260.539
A,13º Andar,1308,Vendido,"45,52",370.852
A,13º Andar,1309,Livre,"32,04",249.035
A,13º Andar,1310,Vendido,"54,26",454.111
A,13º Andar,1311,Vendido,"54,26",454.111
B,Área Especial,101,Livre,"45,71",334.704
B,Área Especial,102,Livre,"45,98",343.975
B,Área Especial,103,Vendido,"31,99",231.913
B,Área Especial,104,Livre,"45,65",320.506
B,Área Especial,105,Livre,"32,71",237.132
B,Área Especial,106,Livre,"45,62",320.295
B,Área Especial,107,Livre,"33,52",243.004
B,Área Especial,108,Livre,"45,52",319.593
B,Área Especial,109,Livre,"32,04",232.275
B,Área Especial,110,Livre,"54,26",425.983
B,Área Especial,111,Livre,"54,26",425.983
B,2º Andar,201,Livre,"45,71",340.674
B,2º Andar,202,Livre,"45,98",350.131
B,2º Andar,203,Vendido,"31,99",236.551
B,2º Andar,204,Livre,"45,65",326.916
B,2º Andar,205,Livre,"32,71",241.875
B,2º Andar,206,Livre,"45,62",326.701
B,2º Andar,207,Livre,"33,52",247.864
B,2º Andar,208,Livre,"45,52",325.985
B,2º Andar,209,Livre,"32,04",236.921
B,2º Andar,210,Livre,"54,26",433.779
B,2º Andar,211,Livre,"54,26",433.779
B,3º Andar,301,Livre,"45,71",343.720
B,3º Andar,302,Vendido,"45,98",353.270
B,3º Andar,303,Vendido,"31,99",238.916
B,3º Andar,304,Livre,"45,65",330.185
B,3º Andar,305,Livre,"32,71",244.294
B,3º Andar,306,Livre,"45,62",329.968
B,3º Andar,307,Livre,"33,52",250.343
B,3º Andar,308,Livre,"45,52",329.245
B,3º Andar,309,Livre,"32,04",239.290
B,3º Andar,310,Livre,"54,26",437.755
B,3º Andar,311,Livre,"54,26",437.755
B,4º Andar,401,Livre,"45,71",344.950
B,4º Andar,402,Livre,"45,98",354.539
B,4º Andar,403,Livre,"31,99",239.872
B,4º Andar,404,Livre,"45,65",367.673
B,4º Andar,405,Livre,"32,71",245.271
B,4º Andar,406,Vendido,"45,62",367.455
B,4º Andar,407,Livre,"33,52",251.344
B,4º Andar,408,Livre,"45,52",366.729
B,4º Andar,409,Livre,"32,04",240.247
B,4º Andar,410,Livre,"54,26",439.361
B,4º Andar,411,Livre,"54,26",439.361
B,5º Andar,501,Livre,"45,71",346.185
B,5º Andar,502,Livre,"45,98",355.812
B,5º Andar,503,Vendido,"31,99",240.831
B,5º Andar,504,Vendido,"45,65",368.999
B,5º Andar,505,Livre,"32,71",246.252
B,5º Andar,506,Vendido,"45,62",368.780
B,5º Andar,507,Livre,"33,52",252.350
B,5º Andar,508,Livre,"45,52",368.051
B,5º Andar,509,Vendido,"32,04",241.208
B,5º Andar,510,Vendido,"54,26",440.974
B,5º Andar,511,Livre,"54,26",440.974
B,6º Andar,601,Livre,"45,71",347.425
B,6º Andar,602,Livre,"45,98",357.091
B,6º Andar,603,Livre,"31,99",241.795
B,6º Andar,604,Livre,"45,65",370.330
B,6º Andar,605,Livre,"32,71",247.237
B,6º Andar,606,Livre,"45,62",370.111
B,6º Andar,607,Livre,"33,52",253.359
B,6º Andar,608,Livre,"45,52",369.379
B,6º Andar,609,Livre,"32,04",242.173
B,6º Andar,610,Vendido,"54,26",442.593
B,6º Andar,611,Livre,"54,26",442.593
B,7º Andar,701,Livre,"45,71",348.670
B,7º Andar,702,Livre,"45,98",358.375
B,7º Andar,703,Vendido,"31,99",242.762
B,7º Andar,704,Vendido,"45,65",371.667
B,7º Andar,705,Livre,"32,71",248.226
B,7º Andar,706,Livre,"45,62",371.446
B,7º Andar,707,Livre,"33,52",254.373
B,7º Andar,708,Livre,"45,52",370.711
B,7º Andar,709,Vendido,"32,04",243.141
B,7º Andar,710,Vendido,"54,26",444.219
B,7º Andar,711,Livre,"54,26",444.219
B,8º Andar,801,Livre,"45,71",349.920
B,8º Andar,802,Livre,"45,98",359.663
B,8º Andar,803,Livre,"31,99",243.733
B,8º Andar,804,Livre,"45,65",373.009
B,8º Andar,805,Livre,"32,71",249.219
B,8º Andar,806,Livre,"45,62",372.787
B,8º Andar,807,Livre,"33,52",255.390
B,8º Andar,808,Livre,"45,52",372.050
B,8º Andar,809,Livre,"32,04",244.114
B,8º Andar,810,Vendido,"54,26",445.851
B,8º Andar,811,Livre,"54,26",445.851
B,9º Andar,901,Livre,"45,71",351.175
B,9º Andar,902,Livre,"45,98",360.957
B,9º Andar,903,Vendido,"31,99",244.708
B,9º Andar,904,Livre,"45,65",374.356
B,9º Andar,905,Livre,"32,71",250.216
B,9º Andar,906,Livre,"45,62",374.134
B,9º Andar,907,Livre,"33,52",256.412
B,9º Andar,908,Livre,"45,52",373.393
B,9º Andar,909,Livre,"32,04",245.090
B,9º Andar,910,Vendido,"54,26",447.490
B,9º Andar,911,Livre,"54,26",447.490
B,10º Andar,1001,Livre,"45,71",352.435
B,10º Andar,1002,Livre,"45,98",362.257
B,10º Andar,1003,Livre,"31,99",245.687
B,10º Andar,1004,Livre,"45,65",375.709
B,10º Andar,1005,Livre,"32,71",251.216
B,10º Andar,1006,Livre,"45,62",375.486
B,10º Andar,1007,Livre,"33,52",257.437
B,10º Andar,1008,Livre,"45,52",374.742
B,10º Andar,1009,Livre,"32,04",246.071
B,10º Andar,1010,Vendido,"54,26",449.135
B,10º Andar,1011,Livre,"54,26",449.135
B,11º Andar,1101,Livre,"45,71",353.700
B,11º Andar,1102,Livre,"45,98",363.561
B,11º Andar,1103,Vendido,"31,99",246.670
B,11º Andar,1104,Vendido,"45,65",377.067
B,11º Andar,1105,Livre,"32,71",252.221
B,11º Andar,1106,Vendido,"45,62",376.843
B,11º Andar,1107,Livre,"33,52",258.467
B,11º Andar,1108,Livre,"45,52",376.096
B,11º Andar,1109,Livre,"32,04",247.055
B,11º Andar,1110,Vendido,"54,26",450.787
B,11º Andar,1111,Livre,"54,26",450.787
B,12º Andar,1201,Livre,"45,71",354.970
B,12º Andar,1202,Livre,"45,98",364.871
B,12º Andar,1203,Livre,"31,99",247.656
B,12º Andar,1204,Livre,"45,65",378.431
B,12º Andar,1205,Livre,"32,71",253.230
B,12º Andar,1206,Livre,"45,62",378.206
B,12º Andar,1207,Livre,"33,52",259.501
B,12º Andar,1208,Livre,"45,52",377.456
B,12º Andar,1209,Livre,"32,04",248.043
B,12º Andar,1210,Vendido,"54,26",452.446
B,12º Andar,1211,Livre,"54,26",452.446
B,13º Andar,1301,Livre,"45,71",356.246
